product_id,manufacturer,department,brand,commodity_desc,sub_commodity_desc,curr_size_of_product,beverage_category
45308,1535,GROCERY,National,TEAS,TEA BAGS HERBAL & FLAVORED,20 CT,Tea
45465,69,GROCERY,Private,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,,Carbonated Soft Drinks
45680,1535,GROCERY,National,TEAS,TEA BAGS HERBAL & FLAVORED,20 CT,Tea
45878,69,GROCERY,Private,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,24 PK,Carbonated Soft Drinks
45977,1535,GROCERY,National,TEAS,TEA BAGS HERBAL & FLAVORED,20 CT,Tea
45999,69,GROCERY,Private,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,,Carbonated Soft Drinks
46041,69,GROCERY,Private,REFRGRATD JUICES/DRNKS,DAIRY CASE TEA WITH SUGAR OR S,1 GA,Juice
46118,69,GROCERY,Private,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,64 OZ,Juice
46352,69,GROCERY,Private,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,24 PK,Carbonated Soft Drinks
46533,1535,GROCERY,National,TEAS,TEA BAGS HERBAL & FLAVORED,20 CT,Tea
46957,69,GROCERY,Private,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,,Carbonated Soft Drinks
46975,69,GROCERY,Private,COFFEE,GROUND COFFEE,13 OZ,Coffee
47425,69,GROCERY,Private,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,,Carbonated Soft Drinks
47456,2557,GROCERY,National,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,10/6.75 OZ,Juice
47857,2557,GROCERY,National,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,10/6.75 OZ,Juice
47963,69,GROCERY,Private,COFFEE,GROUND COFFEE,34.5 OZ,Coffee
48021,69,GROCERY,Private,COFFEE,GROUND COFFEE,13 OZ,Coffee
48425,69,GROCERY,Private,TEAS,TEA BAGS & BULK TEA,48 CT,Tea
48503,69,GROCERY,Private,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,,Carbonated Soft Drinks
48689,1535,GROCERY,National,TEAS,TEA BAGS HERBAL & FLAVORED,20 CT,Tea
48936,69,GROCERY,Private,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,128 OZ,Juice
49069,2224,GROCERY,National,SOFT DRINKS,MIXERS(TONIC WTR/GNGR ALE)FLAV,LTR,Carbonated Soft Drinks
49108,2557,GROCERY,National,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,10/6.75 OZ,Juice
49146,69,GROCERY,Private,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,,Carbonated Soft Drinks
49303,69,GROCERY,Private,SOFT DRINKS,MIXERS(CLUB SODA/SELTZERS)FLAV,33.8OZ,Carbonated Soft Drinks
49598,1535,GROCERY,National,TEAS,TEA BAGS HERBAL & FLAVORED,20 CT,Tea
49659,69,GROCERY,Private,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,,Carbonated Soft Drinks
50024,2401,GROCERY,National,WATER - CARBONATED/FLVRD DRINK,SPRING WATER,.5 LTR,Carbonated Soft Drinks
50193,69,GROCERY,Private,TEAS,TEA BAGS & BULK TEA,100 CT,Tea
50499,2557,GROCERY,National,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,10/6.75 OZ,Juice
50658,2557,GROCERY,National,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,6 PK,Juice
51151,2557,GROCERY,National,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,10/6.75 OZ,Juice
51226,2557,GROCERY,National,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,10-6.75 OZ,Juice
51336,69,GROCERY,Private,COFFEE,GROUND COFFEE,13 OZ,Coffee
52069,1046,GROCERY,National,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,6.75 OZ,Juice
52430,69,GROCERY,Private,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,64 OZ,Juice
52492,69,GROCERY,Private,CANNED JUICES,GRAPE JUICE (OVER 50% JUICE),64 OZ,Juice
52615,2315,GROCERY,National,WATER - CARBONATED/FLVRD DRINK,SPRING WATER,,Carbonated Soft Drinks
53058,69,GROCERY,Private,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,,Carbonated Soft Drinks
53667,1046,GROCERY,National,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,6.75 OZ,Juice
54953,1777,GROCERY,National,SOFT DRINKS,SOFT DRINKS CAN NON-CARB (EXCE,66 OZ,Carbonated Soft Drinks
57313,103,GROCERY,National,SOFT DRINKS,SFT DRNK SNGL SRV BTL CARB (EX,20 OZ,Carbonated Soft Drinks
57390,103,GROCERY,National,SOFT DRINKS,SFT DRNK SNGL SRV BTL CARB (EX,20 OZ,Carbonated Soft Drinks
57708,1046,GROCERY,National,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,40.5 OZ,Juice
58253,2733,GROCERY,National,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,12 OZ,Carbonated Soft Drinks
60776,456,GROCERY,National,COFFEE,GROUND FLVR REG COFFEE,11.5 OZ,Coffee
61239,170,GROCERY,National,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,64 OZ PLST,Juice
62255,103,GROCERY,National,SOFT DRINKS,SFT DRNK SNGL SRV BTL CARB (EX,20 OZ,Carbonated Soft Drinks
62469,103,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2 LTR,Carbonated Soft Drinks
63040,436,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,64 OZ,Juice
63162,103,GROCERY,National,SOFT DRINKS,SFT DRNK SNGL SRV BTL CARB (EX,20 OZ,Carbonated Soft Drinks
63376,436,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,64 OZ,Juice
63784,103,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2 LTR,Carbonated Soft Drinks
64221,531,GROCERY,National,COFFEE,INSTANT COFFEE REGULAR,7 OZ,Coffee
64250,103,GROCERY,National,SOFT DRINKS,SFT DRNK SNGL SRV BTL CARB (EX,20 OZ,Carbonated Soft Drinks
64830,103,GROCERY,National,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12 OZ,Carbonated Soft Drinks
64839,456,GROCERY,National,COFFEE,GROUND COFFEE,11.5 OZ,Coffee
65440,103,GROCERY,National,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12 OZ,Carbonated Soft Drinks
65714,103,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2 LTR,Carbonated Soft Drinks
66076,1046,GROCERY,National,SOFT DRINKS,SOFT DRINK BOTTLE NON-CARB (EX,20 OZ,Carbonated Soft Drinks
66371,2224,GROCERY,National,SOFT DRINKS,SOFT DRINK BOTTLE NON-CARB (EX,20 OZ,Carbonated Soft Drinks
66392,103,GROCERY,National,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12 OZ,Carbonated Soft Drinks
66518,103,GROCERY,National,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12 OZ,Carbonated Soft Drinks
66668,103,GROCERY,National,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12 OZ,Carbonated Soft Drinks
66750,103,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2 LTR,Carbonated Soft Drinks
66879,436,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,64 OZ,Juice
67586,436,GROCERY,National,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,2000 ML,Juice
69197,103,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2 LTR,Carbonated Soft Drinks
70302,103,GROCERY,National,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12 OZ,Carbonated Soft Drinks
70383,69,GROCERY,Private,COFFEE,NON DAIRY CREAMER: DRY,35.3 OZ,Coffee
70505,531,GROCERY,National,CANNED JUICES,OTHER CITRUS JUICES (OVER 50%,64 OZ,Juice
71550,456,GROCERY,National,COFFEE,GROUND COFFEE,27.8 OZ,Coffee
71805,103,GROCERY,National,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,12 OZ,Carbonated Soft Drinks
71831,1763,GROCERY,National,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,12 OZ,Carbonated Soft Drinks
71938,1194,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,64 OZ,Juice
72374,103,GROCERY,National,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,12 OZ,Carbonated Soft Drinks
73467,1208,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2 LTR,Carbonated Soft Drinks
73499,69,NUTRITION,Private,WATER,SPRING WATER,20 OZ,Water
73513,103,GROCERY,National,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,6/24 OZ,Carbonated Soft Drinks
73540,1194,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,64 OZ,Juice
74039,2224,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2 LTR,Carbonated Soft Drinks
74503,1194,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,64 OZ,Juice
74874,2557,GROCERY,National,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,10/6.75 OZ,Juice
76400,2224,GROCERY,National,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12 OZ,Carbonated Soft Drinks
77101,456,GROCERY,National,COFFEE,GROUND COFFEE,27.8 OZ,Coffee
77341,1194,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,64 OZ,Juice
77360,1194,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,89 OZ,Juice
77705,2224,GROCERY,National,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12 OZ,Carbonated Soft Drinks
77797,1194,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,89 OZ,Juice
78802,1194,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,89 OZ,Juice
78945,436,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE CITRUS PNCH/OJ SUBS,64 OZ,Juice
79154,188,GROCERY,National,COCOA MIXES,HOT CHOCOLATE COCOA MIX,10 OZ,Other Beverages
79795,984,GROCERY,National,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,12 OZ,Carbonated Soft Drinks
79820,869,GROCERY,National,SOFT DRINKS,TEA UNSWEETENED,16 OZ,Carbonated Soft Drinks
80131,1194,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,89 OZ,Juice
80132,1194,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,128 OZ,Juice
81513,612,GROCERY,National,CANNED JUICES,CRANBERRY JUICE (50% AND UNDER,64 OZ,Juice
81946,103,GROCERY,National,COFFEE,INSTANT COFFEE FLAVORED NO SWE,9.5 OZ,Coffee
83011,69,GROCERY,Private,CANNED JUICES,CRANAPPLE CRAN GRAPE JUICE (O,64 OZ,Juice
83553,693,GROCERY,National,COCOA MIXES,MALTED MLK/SYRUP/PWDRS (EGGNOG,18.5 OZ,Other Beverages
83763,188,GROCERY,National,COCOA MIXES,HOT CHOCOLATE COCOA MIX,8 OZ,Other Beverages
84208,1208,GROCERY,National,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,20 OZ,Carbonated Soft Drinks
84257,612,GROCERY,National,CANNED JUICES,CRANBERRY JUICE (50% AND UNDER,64 OZ,Juice
84511,869,GROCERY,National,TEAS,TEA BAGS HERBAL & FLAVORED,20 CT,Tea
84552,2224,GROCERY,National,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,12 OZ,Carbonated Soft Drinks
84989,69,GROCERY,Private,CANNED JUICES,CRANAPPLE CRAN GRAPE JUICE (O,64 OZ,Juice
85330,188,GROCERY,National,COCOA MIXES,HOT CHOCOLATE COCOA MIX,8/1.2 OZ,Other Beverages
86690,612,GROCERY,National,CANNED JUICES,CRANAPPLE CRAN GRAPE JUICE (5,64 OZ,Juice
86958,612,GROCERY,National,CANNED JUICES,CRANAPPLE CRAN GRAPE JUICE (5,64 OZ,Juice
88236,436,GROCERY,National,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,200  ML,Juice
88505,103,GROCERY,National,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,6/24 OZ,Carbonated Soft Drinks
89414,103,GROCERY,National,COFFEE,INSTANT COFFEE FLAVORED NO SWE,9.5 OZ,Coffee
89689,1208,GROCERY,National,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,.5 LTR,Carbonated Soft Drinks
89776,1194,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,128 OZ,Juice
89955,436,GROCERY,National,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,200  ML,Juice
90068,436,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,128 OZ,Juice
90157,436,GROCERY,National,CANNED JUICES,ASEPTIC PACK JUICE AND DRINKS,2000 ML,Juice
90519,1208,GROCERY,National,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,.5 LTR,Carbonated Soft Drinks
90567,1232,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE JUICE DRNK UNDER 10,64 OZ,Juice
90774,1046,GROCERY,National,COFFEE,GROUND COFFEE,13 OZ,Coffee
91206,1251,GROCERY,National,CANNED JUICES,OTHER CITRUS JUICES (50% AND U,64 OZ,Juice
91467,1276,GROCERY,National,ISOTONIC DRINKS,ISOTONIC DRINKS MULTI-SERVE,64 OZ,Energy/Sports Drinks
91572,1005,GROCERY,National,CANNED JUICES,GRAPE JUICE (OVER 50% JUICE),64 OZ,Juice
92423,2224,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2 LTR,Carbonated Soft Drinks
92844,1194,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,64 OZ,Juice
93056,456,GROCERY,National,COFFEE,GROUND COFFEE,34.5 OZ,Coffee
93453,2152,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2 LTR,Carbonated Soft Drinks
94208,1208,GROCERY,National,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,,Carbonated Soft Drinks
94656,1276,GROCERY,National,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,20 OZ,Energy/Sports Drinks
95757,1208,GROCERY,National,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,20 OZ,Carbonated Soft Drinks
95919,2224,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2 LTR,Carbonated Soft Drinks
96563,693,GROCERY,National,COCOA MIXES,MALTED MLK/SYRUP/PWDRS (EGGNOG,24 OZ,Other Beverages
96670,1276,GROCERY,National,ISOTONIC DRINKS,ISOTONIC DRINKS MULTI-SERVE,64 OZ,Energy/Sports Drinks
96679,1208,GROCERY,National,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,,Carbonated Soft Drinks
97361,5149,GROCERY,National,SOFT DRINKS,ENERGY DRINK,8.3 OZ,Carbonated Soft Drinks
97715,69,GROCERY,Private,COFFEE,NON DAIRY CREAMER: DRY,16 OZ,Coffee
97963,1251,GROCERY,National,CANNED JUICES,OTHER CITRUS JUICES (50% AND U,64 OZ,Juice
98223,1232,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE JUICE DRNK UNDER 10,64 OZ,Juice
98894,1208,GROCERY,National,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,20 OZ,Carbonated Soft Drinks
100389,1208,GROCERY,National,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,.5 LTR,Carbonated Soft Drinks
103998,69,GROCERY,Private,COFFEE,NON DAIRY CREAMER: DRY,16 OZ,Coffee
104931,827,GROCERY,National,CANNED JUICES,PINEAPPLE JUICE (OVER 50% JUIC,46 OZ,Juice
105520,1276,GROCERY,National,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,20 OZ,Energy/Sports Drinks
107070,1208,GROCERY,National,SOFT DRINKS,SFT DRNK SNGL SRV BTL CARB (EX,20 OZ,Carbonated Soft Drinks
108045,2224,GROCERY,National,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12 OZ,Carbonated Soft Drinks
108058,1208,GROCERY,National,SOFT DRINKS,SFT DRNK SNGL SRV BTL CARB (EX,20 OZ,Carbonated Soft Drinks
108542,1194,GROCERY,National,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,6 PK/8 OZ,Juice
109081,1276,GROCERY,National,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,20 OZ,Energy/Sports Drinks
109645,1046,GROCERY,National,COFFEE,GROUND COFFEE,39 OZ,Coffee
111794,1208,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2 LTR,Carbonated Soft Drinks
111874,2224,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2 LTR,Carbonated Soft Drinks
112024,2224,GROCERY,National,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12 OZ,Carbonated Soft Drinks
112613,1535,GROCERY,National,TEAS,TEA BAGS & BULK TEA (SUPPLEMEN,20 CT,Tea
112811,2224,GROCERY,National,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12 OZ,Carbonated Soft Drinks
112829,1251,GROCERY,National,CANNED JUICES,TOMATO JUICE (OVER 50% JCE),46 OZ,Juice
113154,1046,GROCERY,National,COFFEE,GROUND COFFEE,34.5 OZ,Coffee
113638,2224,GROCERY,National,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12 OZ,Carbonated Soft Drinks
113765,2224,GROCERY,National,SOFT DRINKS,SOFT DRINKS CAN NON-CARB (EXCE,12 OZ,Carbonated Soft Drinks
114477,1046,GROCERY,National,COFFEE,GROUND COFFEE,11.5 OZ,Coffee
116104,1208,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2 LTR,Carbonated Soft Drinks
116612,1208,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2 LTR,Carbonated Soft Drinks
116901,1647,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2 LTR,Carbonated Soft Drinks
117092,612,GROCERY,National,CANNED JUICES,CRANAPPLE CRAN GRAPE JUICE (O,64 OZ,Juice
117822,2224,GROCERY,National,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12 OZ,Carbonated Soft Drinks
119258,1005,GROCERY,National,CANNED JUICES,GRAPE JUICE (OVER 50% JUICE),25.4 OZ,Juice
119477,69,GROCERY,Private,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,,Juice
120557,1208,GROCERY,National,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,32 OZ,Energy/Sports Drinks
120830,2224,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2 LTR,Carbonated Soft Drinks
121195,69,GROCERY,Private,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,,Juice
121575,1208,GROCERY,National,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,32 OZ,Energy/Sports Drinks
122291,2224,GROCERY,National,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12 OZ,Carbonated Soft Drinks
122758,1046,GROCERY,National,COFFEE,GROUND COFFEE,13 OZ,Coffee
125336,612,GROCERY,National,CANNED JUICES,CRANBERRY JUICE (50% AND UNDER,46 OZ,Juice
125348,2224,GROCERY,National,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12 OZ,Carbonated Soft Drinks
126096,69,GROCERY,Private,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,,Juice
126749,2315,GROCERY,National,WATER - CARBONATED/FLVRD DRINK,SPRING WATER,1 GAL,Carbonated Soft Drinks
127855,2224,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2 LTR,Carbonated Soft Drinks
128047,407,GROCERY,National,CANNED JUICES,PINEAPPLE JUICE (OVER 50% JUIC,ABCD 46 OZ,Juice
133894,2135,GROCERY,National,CANNED JUICES,SV BEV: BEV/JUICE 50-100% JUIC,16OZ,Juice
137461,69,GROCERY,Private,COFFEE,NON DAIRY CREAMER: DRY,11 OZ,Coffee
