product_id,total_revenue,units_sold,avg_selling_price,promo_revenue,non_promo_revenue,promo_units,non_promo_units,promo_weeks,non_promo_weeks,promo_velocity,non_promo_velocity,promotion_lift,beverage_category,category_avg_lift,lift_index_vs_category
46957,1.1400000000000001,2,0.5700000000000001,0.0,1.1400000000000001,0,2,0,2,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
46975,2.0,1,2.0,2.0,0.0,1,0,1,0,1.0,0.0,,Coffee,1.311586973965421,
47425,0.59,1,0.59,0.0,0.59,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
47456,2.29,1,2.29,0.0,2.29,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
47857,1.83,1,1.83,0.0,1.83,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
47963,25.75,5,5.15,20.16,5.59,4,1,4,1,1.0,1.0,1.0,Coffee,1.311586973965421,0.7624351414352826
48021,29.740000000000002,14,2.0961538461538463,10.02,19.72,6,8,5,7,1.2,1.1428571428571428,1.05,Coffee,1.311586973965421,0.8005568985070468
48425,2.69,1,2.69,0.0,2.69,0,1,0,1,0.0,1.0,0.0,Tea,1.2953467409932147,0.0
48503,1.18,2,0.59,0.0,1.18,0,2,0,2,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
48689,2.59,1,2.59,2.59,0.0,1,0,1,0,1.0,0.0,,Tea,1.2953467409932147,
48936,6.5,2,3.25,0.0,6.5,0,2,0,2,0.0,1.0,0.0,Juice,1.520044946049398,0.0
49069,1.49,1,1.49,0.0,1.49,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
49108,3.84,2,1.92,0.0,3.84,0,2,0,2,0.0,1.0,0.0,Juice,1.520044946049398,0.0
49146,0.59,1,0.59,0.0,0.59,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
49303,0.69,1,0.69,0.69,0.0,1,0,1,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
49598,2.85,1,2.85,0.0,2.85,0,1,0,1,0.0,1.0,0.0,Tea,1.2953467409932147,0.0
49659,4.64,8,0.58,0.0,4.64,0,8,0,8,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
50024,1.5,1,1.5,1.5,0.0,1,0,1,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
50193,1.92,1,1.92,0.0,1.92,0,1,0,1,0.0,1.0,0.0,Tea,1.2953467409932147,0.0
50499,5.49,3,1.83,0.0,5.49,0,3,0,1,0.0,3.0,0.0,Juice,1.520044946049398,0.0
50658,1.99,1,1.99,0.0,1.99,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
51151,3.8200000000000003,2,1.9100000000000001,0.0,3.8200000000000003,0,2,0,2,0.0,1.0,0.0,Juice,1.520044946049398,0.0
51226,1.67,1,1.67,1.67,0.0,1,0,1,0,1.0,0.0,,Juice,1.520044946049398,
51336,0.99,1,0.99,0.99,0.0,1,0,1,0,1.0,0.0,,Coffee,1.311586973965421,
52069,0.92,1,0.92,0.0,0.92,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
52430,2.0,1,2.0,2.0,0.0,1,0,1,0,1.0,0.0,,Juice,1.520044946049398,
52492,2.07,1,2.07,0.0,2.07,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
52615,2.99,1,2.99,2.99,0.0,1,0,1,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
53058,0.59,1,0.59,0.0,0.59,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
53667,1.84,2,0.92,0.0,1.84,0,2,0,2,0.0,1.0,0.0,Juice,1.520044946049398,0.0
54953,2.99,1,2.99,0.0,2.99,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
57313,4.859999999999999,4,1.2149999999999999,0.0,4.859999999999999,0,4,0,4,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
57390,15.969999999999999,13,1.2284615384615383,0.0,15.969999999999995,0,13,0,12,0.0,1.0833333333333333,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
57708,0.92,1,0.92,0.0,0.92,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
58253,2.99,1,2.99,0.0,2.99,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
60776,3.23,1,3.23,0.0,3.23,0,1,0,1,0.0,1.0,0.0,Coffee,1.311586973965421,0.0
61239,2.19,1,2.19,2.19,0.0,1,0,1,0,1.0,0.0,,Juice,1.520044946049398,
62255,8.43,7,1.2042857142857142,0.0,8.43,0,7,0,5,0.0,1.4,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
62469,1.49,1,1.49,0.0,1.49,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
63040,4.9,2,2.45,2.5,2.4,1,1,1,1,1.0,1.0,1.0,Juice,1.520044946049398,0.6578752836217135
63162,7.14,6,1.19,0.0,7.139999999999999,0,6,0,5,0.0,1.2,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
63376,1.77,1,1.77,1.77,0.0,1,0,1,0,1.0,0.0,,Juice,1.520044946049398,
63784,0.99,1,0.99,0.99,0.0,1,0,1,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
64221,4.59,1,4.59,0.0,4.59,0,1,0,1,0.0,1.0,0.0,Coffee,1.311586973965421,0.0
64250,2.38,2,1.19,0.0,2.38,0,2,0,2,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
64830,8.98,3,2.9933333333333336,8.98,0.0,3,0,3,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
64839,3.45,1,3.45,0.0,3.45,0,1,0,1,0.0,1.0,0.0,Coffee,1.311586973965421,0.0
65440,2.98,1,2.98,2.98,0.0,1,0,1,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
65714,1.49,1,1.49,0.0,1.49,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
66076,1.09,1,1.09,0.0,1.09,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
66371,1.29,1,1.29,0.0,1.29,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
66392,3.33,1,3.33,3.33,0.0,1,0,1,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
66518,5.0,2,2.5,5.0,0.0,2,0,1,0,2.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
66668,27.17,10,2.934,27.17,0.0,10,0,4,0,2.5,0.0,,Carbonated Soft Drinks,1.8416478312836793,
66750,0.99,1,0.99,0.99,0.0,1,0,1,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
66879,3.77,2,1.885,3.77,0.0,2,0,2,0,1.0,0.0,,Juice,1.520044946049398,
67586,2.0,1,2.0,2.0,0.0,1,0,1,0,1.0,0.0,,Juice,1.520044946049398,
69197,3.17,3,1.0566666666666666,1.78,1.39,2,1,2,1,1.0,1.0,1.0,Carbonated Soft Drinks,1.8416478312836793,0.5429919787123321
70302,43.39,15,3.0354545454545456,43.39,0.0,15,0,11,0,1.3636363636363635,0.0,,Carbonated Soft Drinks,1.8416478312836793,
70383,2.5,1,2.5,2.5,0.0,1,0,1,0,1.0,0.0,,Coffee,1.311586973965421,
70505,2.37,1,2.37,0.0,2.37,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
71550,7.99,1,7.99,0.0,7.99,0,1,0,1,0.0,1.0,0.0,Coffee,1.311586973965421,0.0
71805,33.28,6,5.458,33.28,0.0,6,0,5,0,1.2,0.0,,Carbonated Soft Drinks,1.8416478312836793,
71831,2.39,1,2.39,2.39,0.0,1,0,1,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
71938,23.82,9,2.6466666666666665,9.27,14.55,4,5,4,5,1.0,1.0,1.0,Juice,1.520044946049398,0.6578752836217135
72374,16.97,3,5.656666666666666,16.97,0.0,3,0,3,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
73467,2.19,2,1.095,1.0,1.19,1,1,1,1,1.0,1.0,1.0,Carbonated Soft Drinks,1.8416478312836793,0.5429919787123321
73499,0.98,2,0.49,0.0,0.98,0,2,0,1,0.0,2.0,0.0,Water,2.625169268541402,0.0
73513,8.49,3,2.995,5.0,3.49,2,1,1,1,2.0,1.0,2.0,Carbonated Soft Drinks,1.8416478312836793,1.0859839574246641
73540,2.89,1,2.89,0.0,2.89,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
74039,1.98,2,0.99,1.98,0.0,2,0,2,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
74503,8.18,3,2.7266666666666666,2.5,5.68,1,2,1,2,1.0,1.0,1.0,Juice,1.520044946049398,0.6578752836217135
74874,5.95,3,2.06,0.0,5.95,0,3,0,2,0.0,1.5,0.0,Juice,1.520044946049398,0.0
76400,5.98,2,2.99,5.98,0.0,2,0,2,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
77101,20.97,3,6.989999999999999,4.99,15.98,1,2,1,2,1.0,1.0,1.0,Coffee,1.311586973965421,0.7624351414352826
77341,5.83,2,2.915,0.0,5.83,0,2,0,2,0.0,1.0,0.0,Juice,1.520044946049398,0.0
77360,8.440000000000001,2,4.220000000000001,4.19,4.25,1,1,1,1,1.0,1.0,1.0,Juice,1.520044946049398,0.6578752836217135
77705,2.75,1,2.75,2.75,0.0,1,0,1,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
77797,4.25,1,4.25,0.0,4.25,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
78802,8.440000000000001,2,4.220000000000001,4.19,4.25,1,1,1,1,1.0,1.0,1.0,Juice,1.520044946049398,0.6578752836217135
78945,1.0,1,1.0,1.0,0.0,1,0,1,0,1.0,0.0,,Juice,1.520044946049398,
79154,2.29,1,2.29,0.0,2.29,0,1,0,1,0.0,1.0,0.0,Other Beverages,1.592246006372412,0.0
79795,3.99,1,3.99,3.99,0.0,1,0,1,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
79820,1.49,1,1.49,0.0,1.49,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
80131,59.38,14,4.241428571428572,8.38,51.0,2,12,2,12,1.0,1.0,1.0,Juice,1.520044946049398,0.6578752836217135
80132,26.130000000000003,5,5.226000000000001,10.38,15.75,2,3,2,2,1.0,1.5,0.6666666666666666,Juice,1.520044946049398,0.4385835224144757
81513,3.89,1,3.89,0.0,3.89,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
81946,4.99,1,4.99,0.0,4.99,0,1,0,1,0.0,1.0,0.0,Coffee,1.311586973965421,0.0
83011,1.64,1,1.64,1.64,0.0,1,0,1,0,1.0,0.0,,Juice,1.520044946049398,
83553,1.58,1,1.58,0.0,1.58,0,1,0,1,0.0,1.0,0.0,Other Beverages,1.592246006372412,0.0
83763,2.29,1,2.29,0.0,2.29,0,1,0,1,0.0,1.0,0.0,Other Beverages,1.592246006372412,0.0
84208,3.77,3,1.24,0.0,3.77,0,3,0,2,0.0,1.5,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
84257,5.890000000000001,2,2.9450000000000003,2.0,3.89,1,1,1,1,1.0,1.0,1.0,Juice,1.520044946049398,0.6578752836217135
84511,1.67,1,1.67,1.67,0.0,1,0,1,0,1.0,0.0,,Tea,1.2953467409932147,
84552,5.99,1,5.99,5.99,0.0,1,0,1,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
84989,3.0,1,3.0,3.0,0.0,1,0,1,0,1.0,0.0,,Juice,1.520044946049398,
85330,1.5,1,1.5,1.5,0.0,1,0,1,0,1.0,0.0,,Other Beverages,1.592246006372412,
86690,4.779999999999999,2,2.3899999999999997,1.88,2.9,1,1,1,1,1.0,1.0,1.0,Juice,1.520044946049398,0.6578752836217135
86958,3.76,2,1.88,3.76,0.0,2,0,1,0,2.0,0.0,,Juice,1.520044946049398,
88236,1.79,1,1.79,0.0,1.79,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
88505,5.17,2,2.585,5.17,0.0,2,0,2,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
89414,15.46,3,5.153333333333333,4.5,10.96,1,2,1,1,1.0,2.0,0.5,Coffee,1.311586973965421,0.3812175707176413
89689,2.89,1,2.89,0.0,2.89,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
89776,30.72,6,5.12,0.0,30.72,0,6,0,6,0.0,1.0,0.0,Juice,1.520044946049398,0.0
89955,1.79,1,1.79,0.0,1.79,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
90068,4.75,1,4.75,0.0,4.75,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
90157,3.4000000000000004,2,1.7000000000000002,0.0,3.4000000000000004,0,2,0,2,0.0,1.0,0.0,Juice,1.520044946049398,0.0
90519,4.84,2,2.42,4.84,0.0,2,0,2,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
90567,7.5,9,0.84125,7.5,0.0,9,0,6,0,1.5,0.0,,Juice,1.520044946049398,
90774,2.85,1,2.85,0.0,2.85,0,1,0,1,0.0,1.0,0.0,Coffee,1.311586973965421,0.0
91206,2.99,1,2.99,0.0,2.99,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
91467,1.95,1,1.95,0.0,1.95,0,1,0,1,0.0,1.0,0.0,Energy/Sports Drinks,1.4467617422146801,0.0
91572,2.5,1,2.5,2.5,0.0,1,0,1,0,1.0,0.0,,Juice,1.520044946049398,
92423,3.53,3,1.1766666666666665,2.14,1.39,2,1,2,1,1.0,1.0,1.0,Carbonated Soft Drinks,1.8416478312836793,0.5429919787123321
92844,10.41,4,2.6025,4.68,5.73,2,2,2,2,1.0,1.0,1.0,Juice,1.520044946049398,0.6578752836217135
93056,7.99,1,7.99,0.0,7.99,0,1,0,1,0.0,1.0,0.0,Coffee,1.311586973965421,0.0
93453,0.99,1,0.99,0.99,0.0,1,0,1,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
94208,7.02,3,2.34,7.02,0.0,3,0,3,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
94656,18.98,4,4.826666666666667,18.98,0.0,4,0,3,0,1.3333333333333333,0.0,,Energy/Sports Drinks,1.4467617422146801,
95757,14.28,12,1.19,0.0,14.279999999999998,0,12,0,11,0.0,1.0909090909090908,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
95919,2.25,2,1.125,2.25,0.0,2,0,2,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
96563,3.73,2,1.865,0.0,3.73,0,2,0,2,0.0,1.0,0.0,Other Beverages,1.592246006372412,0.0
96670,2.5,1,2.5,2.5,0.0,1,0,1,0,1.0,0.0,,Energy/Sports Drinks,1.4467617422146801,
96679,17.55,7,2.555,14.66,2.89,6,1,3,1,2.0,1.0,2.0,Carbonated Soft Drinks,1.8416478312836793,1.0859839574246641
97361,1.99,1,1.99,0.0,1.99,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
97715,1.29,1,1.29,1.29,0.0,1,0,1,0,1.0,0.0,,Coffee,1.311586973965421,
97963,2.99,1,2.99,0.0,2.99,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
98223,1.0,1,1.0,1.0,0.0,1,0,1,0,1.0,0.0,,Juice,1.520044946049398,
98894,3.67,3,1.2233333333333334,0.0,3.67,0,3,0,3,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
100389,5.0,2,2.5,5.0,0.0,2,0,2,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
103998,1.19,1,1.19,1.19,0.0,1,0,1,0,1.0,0.0,,Coffee,1.311586973965421,
104931,2.25,1,2.25,0.0,2.25,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
105520,4.99,1,4.99,4.99,0.0,1,0,1,0,1.0,0.0,,Energy/Sports Drinks,1.4467617422146801,
107070,2.38,2,1.19,0.0,2.38,0,2,0,2,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
108045,2.0,1,2.0,2.0,0.0,1,0,1,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
108058,3.57,3,1.19,0.0,3.57,0,3,0,3,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
108542,2.34,1,2.34,2.34,0.0,1,0,1,0,1.0,0.0,,Juice,1.520044946049398,
109081,9.98,2,4.99,9.98,0.0,2,0,2,0,1.0,0.0,,Energy/Sports Drinks,1.4467617422146801,
109645,4.99,1,4.99,4.99,0.0,1,0,1,0,1.0,0.0,,Coffee,1.311586973965421,
111794,7.45,6,1.2375,7.45,0.0,6,0,3,0,2.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
111874,2.2800000000000002,2,1.1400000000000001,0.99,1.29,1,1,1,1,1.0,1.0,1.0,Carbonated Soft Drinks,1.8416478312836793,0.5429919787123321
112024,5.75,2,2.875,5.75,0.0,2,0,2,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
112613,2.99,1,2.99,2.99,0.0,1,0,1,0,1.0,0.0,,Tea,1.2953467409932147,
112811,17.11,6,2.8516666666666666,17.11,0.0,6,0,6,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
112829,1.65,1,1.65,0.0,1.65,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
113154,18.29,3,6.096666666666667,4.99,13.3,1,2,1,2,1.0,1.0,1.0,Coffee,1.311586973965421,0.7624351414352826
113638,3.49,1,3.49,0.0,3.49,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
113765,2.88,1,2.88,2.88,0.0,1,0,1,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
114477,2.89,1,2.89,2.89,0.0,1,0,1,0,1.0,0.0,,Coffee,1.311586973965421,
116104,10.85,9,1.1800000000000002,10.85,0.0,9,0,5,0,1.8,0.0,,Carbonated Soft Drinks,1.8416478312836793,
116612,3.2,3,1.1,3.2,0.0,3,0,2,0,1.5,0.0,,Carbonated Soft Drinks,1.8416478312836793,
116901,1.29,1,1.29,0.0,1.29,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
117092,3.99,1,3.99,3.99,0.0,1,0,1,0,1.0,0.0,,Juice,1.520044946049398,
117822,5.65,2,2.825,5.65,0.0,2,0,2,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
119258,3.49,1,3.49,0.0,3.49,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
119477,5.359999999999999,4,1.3399999999999999,5.359999999999999,0.0,4,0,4,0,1.0,0.0,,Juice,1.520044946049398,
120557,1.8,2,0.9,1.8,0.0,2,0,2,0,1.0,0.0,,Energy/Sports Drinks,1.4467617422146801,
120830,3.27,3,1.09,1.98,1.29,2,1,2,1,1.0,1.0,1.0,Carbonated Soft Drinks,1.8416478312836793,0.5429919787123321
